a_Last1_chunk_bitrate,a_Last1_buffer_size,a_Last8_throughput,a_Last7_throughput,a_Last6_throughput,a_Last5_throughput,a_Last4_throughput,a_Last3_throughput,a_Last2_throughput,a_Last1_throughput,a_Last8_downloadtime,a_Last7_downloadtime,a_Last6_downloadtime,a_Last5_downloadtime,a_Last4_downloadtime,a_Last3_downloadtime,a_Last2_downloadtime,a_Last1_downloadtime,a_chunksize1,a_chunksize2,a_chunksize3,a_chunksize4,a_chunksize5,a_chunksize6,a_Chunks_left,a_br,b_Last1_chunk_bitrate,b_Last1_buffer_size,b_Last8_throughput,b_Last7_throughput,b_Last6_throughput,b_Last5_throughput,b_Last4_throughput,b_Last3_throughput,b_Last2_throughput,b_Last1_throughput,b_Last8_downloadtime,b_Last7_downloadtime,b_Last6_downloadtime,b_Last5_downloadtime,b_Last4_downloadtime,b_Last3_downloadtime,b_Last2_downloadtime,b_Last1_downloadtime,b_chunksize1,b_chunksize2,b_chunksize3,b_chunksize4,b_chunksize5,b_chunksize6,b_Chunks_left,b_br,QoE_2
0.06976744186046512,0.9401161378798435,0.002,0.001,0.001,2.323,1.078,1.521,0.44,0.15,0.14,0.9166666666666666,1200,0.27906976744186046,0.861702069373964,0.002,0.001,0.001,0.001,2.323,1.078,1.521,4.784,0.44,0.15,0.14,0.60,0.8958333333333334,750,1.8325814637483098
0.1744186046511628,0.9826058963695324,0.002,0.001,0.001,0.001,0.001,2.323,1.078,1.521,4.784,2.791,0.44,0.15,0.14,0.60,0.40,0.875,1200,0.27906976744186046,1.0430093619015506,0.002,0.001,0.001,0.001,0.001,0.001,2.323,1.078,1.521,4.784,2.791,3.396,0.44,0.15,0.14,0.60,0.40,0.51,0.8541666666666666,1200,2.772588722239781
0.27906976744186046,1.0657529968964752,0.002,0.001,0.001,0.001,0.001,0.001,0.001,2.323,1.078,1.521,4.784,2.791,3.396,3.773,0.15,0.14,0.60,0.40,0.51,0.55,0.8333333333333334,1200,0.27906976744186046,0.8954292001585429,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.323,1.078,1.521,4.784,2.791,3.396,3.773,5.703,0.14,0.60,0.40,0.51,0.55,0.69,0.8125,750,1.8325814637483098
0.1744186046511628,0.9761264738741298,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.078,1.521,4.784,2.791,3.396,3.773,5.703,3.193,0.60,0.40,0.51,0.55,0.69,0.37,0.7916666666666666,1200,0.27906976744186046,1.0025065659607446,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.521,4.784,2.791,3.396,3.773,5.703,3.193,3.736,0.40,0.51,0.55,0.69,0.37,0.55,0.7708333333333334,1200,2.772588722239781
0.27906976744186046,0.9922996625685968,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.784,2.791,3.396,3.773,5.703,3.193,3.736,4.102,0.51,0.55,0.69,0.37,0.55,0.59,0.75,1200,0.27906976744186046,1.0033511849740073,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.791,3.396,3.773,5.703,3.193,3.736,4.102,3.889,0.55,0.69,0.37,0.55,0.59,0.58,0.7291666666666666,1200,2.772588722239781
0.27906976744186046,0.9107099658999586,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.396,3.773,5.703,3.193,3.736,4.102,3.889,4.926,0.69,0.37,0.55,0.59,0.58,0.61,0.7083333333333334,1200,0.27906976744186046,0.42178428108934735,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.773,5.703,3.193,3.736,4.102,3.889,4.926,8.889,0.37,0.55,0.59,0.58,0.61,0.67,0.6875,300,0.0
0.06976744186046512,0.7151064447666268,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5.703,3.193,3.736,4.102,3.889,4.926,8.889,1.067,0.55,0.59,0.58,0.61,0.67,0.14,0.6666666666666666,750,0.1744186046511628,0.8912320261062481,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.193,3.736,4.102,3.889,4.926,8.889,1.067,2.239,0.59,0.58,0.61,0.67,0.14,0.36,0.6458333333333334,750,1.83258146374831
0.1744186046511628,1.149091567082784,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,3.736,4.102,3.889,4.926,8.889,1.067,2.239,1.421,0.58,0.61,0.67,0.14,0.36,0.35,0.625,1850,0.43023255813953487,1.158677691430817,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,4.102,3.889,4.926,8.889,1.067,2.239,1.421,3.904,0.61,0.67,0.14,0.36,0.35,0.86,0.6041666666666666,1850,3.638316886832339
0.43023255813953487,0.6049839419140641,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,3.889,4.926,8.889,1.067,2.239,1.421,3.904,9.537,0.67,0.14,0.36,0.35,0.86,0.96,0.5833333333333334,300,0.06976744186046512,0.9220556912030977,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,4.926,8.889,1.067,2.239,1.421,3.904,9.537,0.829,0.14,0.36,0.35,0.86,0.96,0.14,0.5625,1200,0.0
0.27906976744186046,1.0390528825428489,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,8.889,1.067,2.239,1.421,3.904,9.537,0.829,2.830,0.36,0.35,0.86,0.96,0.14,0.59,0.5416666666666666,1200,0.27906976744186046,1.1716735041967747,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.002,1.067,2.239,1.421,3.904,9.537,0.829,2.830,2.674,0.35,0.86,0.96,0.14,0.59,0.60,0.5208333333333334,1850,2.7725887222397816
0.43023255813953487,1.1812821334700285,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.002,2.239,1.421,3.904,9.537,0.829,2.830,2.674,3.904,0.86,0.96,0.14,0.59,0.60,0.95,0.5,1850,0.43023255813953487,1.1979278244149607,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,1.421,3.904,9.537,0.829,2.830,2.674,3.904,3.834,0.96,0.14,0.59,0.60,0.95,0.85,0.4791666666666667,1850,3.638316886832339
0.43023255813953487,1.2141361053262048,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,3.904,9.537,0.829,2.830,2.674,3.904,3.834,3.838,0.14,0.59,0.60,0.95,0.85,0.88,0.4583333333333333,1850,0.43023255813953487,1.2493809517170344,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,9.537,0.829,2.830,2.674,3.904,3.834,3.838,3.648,0.59,0.60,0.95,0.85,0.88,0.88,0.4375,1850,3.638316886832339
0.43023255813953487,1.191452844332284,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.829,2.830,2.674,3.904,3.834,3.838,3.648,4.579,0.60,0.95,0.85,0.88,0.88,1.05,0.4166666666666667,1850,0.43023255813953487,1.2947073910558466,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.830,2.674,3.904,3.834,3.838,3.648,4.579,2.967,0.95,0.85,0.88,0.88,1.05,0.74,0.3958333333333333,1850,3.638316886832339
0.43023255813953487,1.2957074494198157,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.674,3.904,3.834,3.838,3.648,4.579,2.967,3.990,0.85,0.88,0.88,1.05,0.74,0.95,0.375,1850,0.43023255813953487,1.3028231467095053,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,3.904,3.834,3.838,3.648,4.579,2.967,3.990,3.929,0.88,0.88,1.05,0.74,0.95,0.95,0.3541666666666667,2850,3.638316886832339
0.6627906976744186,1.143601900073462,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,3.834,3.838,3.648,4.579,2.967,3.990,3.929,5.592,0.88,1.05,0.74,0.95,0.95,1.31,0.3333333333333333,1850,0.43023255813953487,1.1495296655147575,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,3.838,3.648,4.579,2.967,3.990,3.929,5.592,3.941,1.05,0.74,0.95,0.95,1.31,0.93,0.3125,1850,3.638316886832339
