chunk_size_1,downloading_time_1,chunk_size_2,downloading_time_2,chunk_size_3,downloading_time_3,chunk_size_4,downloading_time_4,chunk_size_5,downloading_time_5,chunk_size_6,downloading_time_6,chunk_size_7,downloading_time_7,chunk_size_8,downloading_time_8,bandwidth,delay,chunk_size_9,downloading_time_9
0.441893,0.086616,0.308394,0.07393,0.365307,0.070179,0.191762,0.039046,0.35452,0.077046,0.386248,0.083157,0.490246,0.075482,0.590449,0.098607,0.08926689598950152,0.081861,0.139977,0.031139
0.010219,0.005183,1.226967,0.221439,1.212639,0.20082,1.165316,0.172597,0.464202,0.070886,0.65187,0.095501,0.535271,0.069676,0.385188,0.054432,0.08926689598950152,0.085431,0.277341,0.041569
0.547414,0.075727,0.131983,0.022554,0.003643,0.000918,0.003643,0.002996,0.003643,0.005961,0.003643,0.004562,0.003643,0.077985,0.003643,0.00244,0.08926689598950152,0.084139,0.023434,0.003861
0.003643,0.003024,1.552788,0.205369,1.263806,0.147436,2.486097,0.275505,2.41966,0.250352,0.003643,0.08204,0.049544,0.077243,1.230259,0.12969,0.08926689598950152,0.080414,1.122375,0.100586
0.672809,0.061254,0.411968,0.083095,0.003643,0.001007,0.038516,0.616258,0.038516,119.870258,0.699646,0.317612,0.741123,0.401041,0.741123,120.965041,0.08926689598950152,0.265234,0.68901,0.331766
0.912573,0.940906,0.912573,122.177906,0.500734,0.182206,0.782598,0.756883,0.782598,122.932883,0.613596,0.239248,0.553507,0.305232,0.553507,123.797232,0.08926689598950152,0.220642,0.539526,0.240358
0.546843,0.247557,0.546843,125.244557,0.412492,0.223972,1.092126,0.418317,1.092126,126.759317,0.491116,0.22716,0.822908,0.300207,0.822908,128.086207,0.08926689598950152,0.229836,0.470196,0.197164
0.626449,0.235062,0.626449,129.561062,0.458297,0.204143,0.658458,0.220793,0.658458,131.145793,0.660725,0.265576,0.681868,0.243176,0.681868,132.624176,0.08926689598950152,0.229326,0.48185,0.196674
0.696471,0.704893,0.696471,132.940893,0.45241,0.146375,0.693393,133.012593,0.418018,0.299805,0.092829,0.887943,0.092829,123.935943,0.378484,0.049645,0.08926689598950152,0.310278,0.339883,0.662722
0.339883,124.735722,0.429653,0.051788,0.241404,0.422657,0.241404,125.687657,0.455069,0.0587,0.610569,1.237849,0.610569,126.914849,0.843543,0.104322,0.08926689598950152,0.557168,0.591173,1.378832
0.591173,127.221832,2.099138,0.240093,0.532798,127.126253,2.209927,0.256979,0.003643,0.133499,0.003643,122.506499,0.003643,124.541499,0.63441,0.062095,0.08926689598950152,0.012905,0.63441,2.097095
0.63441,0.186807,0.003643,0.025108,0.003643,124.302108,0.003643,126.253108,0.214533,0.012637,0.214533,1.963637,0.214533,0.064081,0.006526,0.062731,0.13581261375326423,0.024269,0.006526,126.249731
0.006526,128.174731,0.186156,0.018631,0.186156,1.943631,0.186156,0.058018,0.003643,0.028945,0.003643,128.166945,0.003643,130.093945,0.181077,0.02604,0.13581261375326423,0.01496,0.181077,1.95304
0.181077,0.074693,0.003643,130.10693,0.003643,132.05493,0.270163,0.024356,0.270163,1.972356,0.270163,0.086739,0.004681,0.04846,0.004681,132.08546,0.13581261375326423,0.02454,0.004681,134.03146
0.256807,0.020055,0.256807,1.966055,0.256807,0.071054,0.003643,0.075206,0.003643,134.003206,0.003643,135.948206,0.255357,0.019354,0.255357,1.964354,0.13581261375326423,0.056404,0.255357,0.071596
0.003643,0.047317,0.003643,135.895317,0.003643,137.834317,0.163643,0.016155,0.163643,1.955155,0.163643,0.04852,0.003643,136.09594,0.003643,138.20894,0.13581261375326423,0.012986,1.240581,0.115014
1.240581,2.228014,1.240581,0.342386,0.003643,0.002715,0.003643,136.286715,0.003643,138.631715,3.176526,0.276905,3.176526,2.621905,3.176526,0.731821,0.13581261375326423,0.025028,0.003643,0.006972
0.003643,136.055972,0.003643,138.013972,0.735258,0.051655,0.735258,2.009655,0.735258,0.143443,0.003643,0.009793,0.003643,121.661793,0.003643,123.581793,0.13581261375326423,0.017292,0.756814,0.069708
0.756814,1.989708,0.756814,0.091258,0.163155,0.018432,0.163155,123.639432,0.163155,125.658432,1.488565,0.129712,1.488565,2.148712,1.488565,0.246371,0.13581261375326423,0.07744,0.003643,125.75156
0.003643,127.54156,1.556653,0.325622,1.556653,2.115622,1.556653,0.253713,0.363766,0.069728,0.363766,127.399728,0.363766,129.356728,0.860625,0.073023,0.13581261375326423,0.016977,0.860625,2.030023
0.860625,0.129707,0.37369,0.078458,0.37369,129.194458,0.37369,131.134458,0.301357,0.020363,0.301357,1.960363,0.301357,0.050471,0.10038,0.023516,0.13581261375326423,0.076484,0.10038,131.064516
0.10038,133.005516,0.587031,0.055168,0.587031,1.996168,0.587031,0.091874,0.003643,0.07496,0.003643,132.98396,0.003643,134.93896,0.856984,0.073987,0.13581261375326423,0.017013,0.856984,2.028987
0.856984,0.12548,0.003643,0.002235,0.003643,134.878235,0.003643,136.830235,1.237065,0.113216,1.237065,2.065216,1.237065,0.173924,0.004681,0.001262,0.511511653718091,0.075738,0.004681,136.437262
0.004681,138.388262,1.066185,0.09352,1.066185,2.04452,1.066185,0.141776,0.145666,0.109928,0.145666,128.186928,2.867954,0.248099,0.003643,0.01118,0.511511653718091,0.02582,0.003643,130.02118
2.630256,0.22803,0.575644,0.070339,0.575644,132.232339,2.824735,0.490885,0.875509,0.082647,0.875509,134.034647,3.499453,0.334381,0.628005,0.06032,0.511511653718091,0.02368,0.628005,135.89632
3.777787,0.354134,0.967665,0.310982,0.967665,137.757982,3.344532,0.311177,1.075092,0.166252,1.075092,139.325252,2.660709,0.249781,0.512306,0.20956,0.511511653718091,0.03344,0.512306,141.05756
2.034338,0.158777,0.553109,0.04605,0.553109,142.45705,1.269194,0.095256,0.491547,0.040039,0.566575,0.043656,0.631381,0.052991,0.334198,0.024887,0.511511653718091,0.018099,0.057609,0.000901
0.198713,0.01807,1.153046,0.109157,0.003643,0.007284,0.076149,0.009286,0.075568,0.012471,0.215472,0.019736,0.003643,0.00122,0.003643,0.001923,0.511511653718091,0.076544,0.036646,0.120456
0.283752,0.186379,1.080753,0.21045,1.137255,0.063712,1.188793,0.072261,0.705745,0.054013,0.181668,0.072461,0.95267,0.084852,0.911209,0.063115,0.511511653718091,0.066846,1.04236,0.081154
1.198091,0.0968,0.003643,0.012188,0.003643,0.053223,0.003643,0.048756,1.150937,0.117302,1.266925,0.109297,1.01462,0.077026,0.715741,0.068418,0.511511653718091,0.057324,0.969455,0.078676
0.350039,0.126029,0.696318,0.145848,1.344988,0.411187,0.509989,0.190766,0.908954,0.151796,0.895447,0.156955,0.810485,0.444482,0.817259,0.035461,0.511511653718091,0.079056,0.56682,0.087944
0.633769,0.179006,0.573747,0.199573,0.753004,0.397281,0.681772,0.028913,0.15378,0.065561,0.160618,0.316384,0.493227,0.074297,0.771345,0.151821,0.511511653718091,0.078402,0.612494,0.107598
0.210997,0.010116,0.691895,0.118659,0.736569,0.138239,0.36786,0.074924,0.567668,0.082653,0.60183,0.0639,0.370684,0.052921,0.450783,0.070107,0.511511653718091,0.07851,0.322455,0.05549
0.18427,0.019517,1.237384,0.184201,1.121666,0.153539,0.568838,0.075474,0.630078,0.107744,1.007331,0.127179,1.163935,0.147045,1.262025,0.16263,0.14546979063318832,0.075389,0.283484,0.042611
0.265419,0.0327,0.859021,0.092763,0.714784,0.039309,0.007906,0.338421,0.019612,0.014253,0.208248,0.028548,0.606562,0.051203,0.454519,0.067835,0.14546979063318832,0.037411,0.622698,0.108589
0.585783,0.06838,0.595854,0.077995,0.452175,0.12317,0.184892,0.074244,0.319709,0.115765,0.413657,0.193216,0.371904,0.093236,0.780678,0.088134,0.14546979063318832,0.036706,0.840038,0.192294
0.628319,0.120738,0.607572,0.099673,0.822776,0.295199,0.601002,0.144153,0.513454,1.325114,0.693429,0.136467,0.683583,0.122921,0.459274,0.223145,0.14546979063318832,0.043353,1.04832,0.383647
0.578455,0.122369,0.494647,0.07336,0.621125,0.142276,0.534245,0.115188,0.547583,0.064957,0.329933,0.069589,0.723614,0.166071,0.296816,0.057297,0.14546979063318832,0.045363,0.598571,0.093637
0.394002,0.173731,0.556982,0.129366,0.592471,0.072231,0.683931,0.107915,0.597226,0.104874,0.191598,0.049654,0.094497,0.060448,0.245238,0.063369,0.14546979063318832,0.045913,0.089309,0.054087
0.884306,0.14501,0.718532,0.083322,0.840335,0.139846,0.779271,0.129853,0.374062,0.076883,0.142899,0.030788,0.139521,0.026534,0.544437,0.074782,0.14546979063318832,0.035605,0.013189,0.006395
0.739491,0.130434,0.683356,0.108694,0.573547,0.075689,0.414047,0.061631,0.58207,0.104228,0.499381,0.072238,0.561957,0.080299,0.431661,0.063886,0.14546979063318832,0.036484,0.47348,0.071516
0.664022,0.086828,0.643671,0.104592,0.649718,0.108011,1.097658,0.275519,1.210226,0.442065,0.382891,0.169021,0.38166,0.382923,0.399044,0.048442,0.14546979063318832,0.040206,0.405016,0.134794
0.685707,0.095833,0.721079,0.159002,0.699246,0.091962,0.592588,0.103341,0.477667,0.167897,0.472494,0.158815,0.003643,0.06419,0.003643,0.165947,0.14546979063318832,0.046474,0.003643,0.103526
0.003643,0.189645,0.003643,0.008661,0.003643,0.022228,0.073941,0.015681,0.003643,0.008147,0.015293,0.003431,0.504283,0.103164,0.538536,0.130652,0.14546979063318832,0.038295,0.619773,0.124705
