Last1_chunk_bitrate,Last1_buffer_size,Last8_throughput,Last7_throughput,Last6_throughput,Last5_throughput,Last4_throughput,Last3_throughput,Last2_throughput,Last1_throughput,Last8_downloadtime,Last7_downloadtime,Last6_downloadtime,Last5_downloadtime,Last4_downloadtime,Last3_downloadtime,Last2_downloadtime,Last1_downloadtime,chunksize1,chunksize2,chunksize3,chunksize4,chunksize5,chunksize6,Chunks_left,br,qoe_2
0.66279,1.2672275183788237,0.5560142071153428,0.5814848076731824,0.4164506517219249,0.5742899493386082,0.7521104148050042,0.2429893859231012,0.6201146856969393,0.17334341635940476,0.5574032732483765,1.8142008061900063,0.9305118284882992,0.5646920780401733,0.777963305983755,0.5766758467227129,0.4237211096252561,0.6108677089129566,0.12287513518084851,0.35458459758427197,0.4055365679464535,0.6622659285703094,0.8993467922519925,1.6508886633843627,0.30418754911519924,1200.0,2.77259
0.66279,1.2672275183788237,0.5560142071153428,0.5814848076731824,0.4164506517219249,0.5742899493386082,0.7521104148050042,0.2429893859231012,0.6201146856969393,0.17334341635940476,0.5574032732483765,1.8142008061900063,0.9305118284882992,0.5646920780401733,0.777963305983755,0.5766758467227129,0.4237211096252561,0.6208675503730774,0.12287513518084851,0.35458459758427197,0.4055365679464535,0.6622659285703094,0.8993467922519925,1.6508886633843627,0.30418754911519924,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.66279,1.3253688662264345,0.28857744777406236,0.602674101444759,0.341571179732911,0.27330680169056043,0.5172491732938553,0.07408632871497342,0.378289533101752,0.4075932434933517,0.8843463261107603,1.1574025941622876,1.142454313614422,0.5287919408734866,0.32978144512174745,0.6057041747222631,0.6242703289490997,0.7288334694395049,0.12654937451723486,0.28639880632753983,0.5641899050274852,0.8129623632855929,1.4929213970327382,1.4456883844364032,0.07704888755202835,2850.0,4.50258
0.66279,1.3253688662264345,0.28857744777406236,0.602674101444759,0.341571179732911,0.27330680169056043,0.5172491732938553,0.07408632871497342,0.378289533101752,0.4075932434933517,0.8843463261107603,1.1574025941622876,1.142454313614422,0.5287919408734866,0.32978144512174745,0.6057041747222631,0.6242703289490997,0.7308334708213806,0.12654937451723486,0.28639880632753983,0.5641899050274852,0.8129623632855929,1.4929213970327382,1.4456883844364032,0.07704888755202835,1200.0,2.77259
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.66279,1.4576596506812902,0.16701954804872954,0.6045163205690895,0.5095357610758379,0.3146104929119271,0.5088455112541915,0.07686457449070581,0.7607852571514049,0.30134380346386336,1.066263842282914,0.8622014781332298,0.3680106758560958,0.10786710189618243,0.2126664461921565,0.47131931033597163,0.18995672996102325,0.2912333574075643,0.14117340256923308,0.26420075714784097,0.6122872877837239,1.008885956652121,1.0229516146762352,1.7639644578655764,0.1780129994892667,2850.0,4.50258
0.66279,1.4576596506812902,0.16701954804872954,0.6045163205690895,0.5095357610758379,0.3146104929119271,0.5088455112541915,0.07686457449070581,0.7607852571514049,0.30134380346386336,1.066263842282914,0.8622014781332298,0.3680106758560958,0.10786710189618243,0.2126664461921565,0.47131931033597163,0.18995672996102325,0.30123335123062134,0.14117340256923308,0.26420075714784097,0.6122872877837239,1.008885956652121,1.0229516146762352,1.7639644578655764,0.1780129994892667,1200.0,2.77259
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.66279,1.5087567523607386,0.2472921496318787,0.4827321701938281,0.052316629443894425,0.317128850978327,0.35313010939604816,0.5317604857330639,0.7659258366588222,0.6091314605290223,1.4380333325661294,1.3240642908605431,0.4966440792579893,0.9249187153502509,0.9298807785620876,0.5913947103555083,0.26850698485445157,0.3739379567927986,0.11404043554626103,0.417366762225285,0.5132038817114715,0.7459646259937543,1.0391802349187675,1.76167621091412,0.5937198908780618,2850.0,4.50258
0.66279,1.5087567523607386,0.2472921496318787,0.4827321701938281,0.052316629443894425,0.317128850978327,0.35313010939604816,0.5317604857330639,0.7659258366588222,0.6091314605290223,1.4380333325661294,1.3240642908605431,0.4966440792579893,0.9249187153502509,0.9298807785620876,0.5913947103555083,0.26850698485445157,0.3839379549026489,0.11404043554626103,0.417366762225285,0.5132038817114715,0.7459646259937543,1.0391802349187675,1.76167621091412,0.5937198908780618,1200.0,2.77259
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.66279,1.2154106684796206,0.37788662291508435,0.4412957084170076,0.028854637489762712,0.11805559441087865,0.4806505413896305,0.17482064719966123,0.07645250548085288,0.41702000635815717,0.6446241192616767,1.3911183932714697,0.36203438159242607,0.9978524105123084,0.32752099466681567,0.43152857462855243,0.6022697523559754,0.7211123564232179,0.16403168254061135,0.4307687916012001,0.6839979709997788,0.7675020312263436,1.4271965003703366,1.603051691973589,0.05109186177275209,2850.0,4.50258
