segment_index,bitrate_index,bitrate_kbps,buffer_at_decision_s,download_time_ms,rebuffer_s,throughput_kB_per_ms,cumulative_qoe,average_qoe
1,0,300,0.000,836.463,0.836,1.330410,-3.268287,-1.634143
2,0,300,0.000,852.517,0.853,1.331024,-6.605604,-2.201868
3,0,300,0.000,936.496,0.936,1.333891,-10.304032,-2.576008
4,0,300,0.000,963.483,0.963,1.334707,-14.118507,-2.823701
5,0,300,0.000,939.867,0.940,1.530439,-17.831429,-2.971905
6,0,300,0.000,646.276,0.646,1.733637,-20.281910,-2.897416
7,0,300,0.000,638.504,0.639,1.732963,-22.698974,-2.837372
8,0,300,0.000,661.740,0.662,1.734930,-25.215950,-2.801772
9,0,300,0.000,693.520,0.694,1.737408,-27.869583,-2.786958
10,0,300,0.000,759.559,0.760,1.741894,-30.807183,-2.800653
11,0,300,0.000,877.071,0.877,1.285014,-34.250083,-2.854174
12,0,300,0.000,750.914,0.751,1.679776,-37.150511,-2.857732
13,0,300,0.000,732.068,0.732,1.724562,-39.969898,-2.854993
14,0,300,0.000,1103.815,1.104,1.188076,-44.387798,-2.959187
15,0,300,0.000,930.109,0.930,1.183982,-48.058763,-3.003673
16,0,300,0.000,805.306,0.805,1.457871,-51.193073,-3.011357
17,0,300,0.000,718.333,0.718,1.714392,-53.953401,-2.997411
18,0,300,0.000,830.249,0.830,1.752736,-57.194969,-3.010262
19,0,300,0.000,525.537,0.526,1.692059,-59.126275,-2.956314
20,0,300,0.000,718.601,0.719,1.710044,-61.887758,-2.947036
21,0,300,0.000,792.171,0.792,1.505019,-64.965589,-2.952981
22,0,300,0.000,736.789,0.737,1.709265,-67.805278,-2.948056
23,0,300,0.000,727.017,0.727,1.732978,-70.602947,-2.941789
24,0,300,0.000,764.533,0.765,1.505557,-73.561934,-2.942477
25,0,300,0.000,865.764,0.866,1.510286,-76.956215,-2.959854
26,0,300,0.000,805.665,0.806,1.780671,-80.092070,-2.966373
27,0,300,0.000,140.055,0.140,9.134329,-80.365804,-2.870207
28,0,300,0.000,61.165,0.061,17.213735,-80.300310,-2.768976
29,0,300,0.000,59.108,0.059,16.784369,-80.225970,-2.674199
30,0,300,0.000,65.492,0.065,17.621057,-80.179080,-2.586422
31,0,300,0.000,74.458,0.074,16.115497,-80.170745,-2.505336
32,0,300,0.000,73.724,0.074,16.056532,-80.159252,-2.429068
33,0,300,0.000,76.448,0.076,16.937781,-80.159474,-2.357632
34,0,300,0.000,79.699,0.080,14.575868,-80.173675,-2.290676
35,0,300,0.000,90.841,0.091,15.174814,-80.235787,-2.228772
36,0,300,0.000,84.476,0.084,15.817516,-80.270530,-2.169474
37,0,300,0.000,81.789,0.082,15.656313,-80.293717,-2.112993
38,0,300,0.000,76.326,0.076,14.412509,-80.293417,-2.058806
39,0,300,0.000,64.895,0.065,14.598542,-80.243960,-2.006099
40,0,300,0.000,62.563,0.063,14.356137,-80.184476,-1.955719
41,0,300,0.000,80.442,0.080,18.080280,-80.201871,-1.909568
42,0,300,0.000,71.724,0.072,17.353133,-80.181781,-1.864693
43,0,300,0.000,73.284,0.073,15.267412,-80.168398,-1.822009
44,0,300,0.000,76.341,0.076,16.288083,-80.168163,-1.781515
45,0,300,0.000,79.245,0.079,16.499929,-80.180412,-1.743052
46,0,300,0.000,60.565,0.061,16.681448,-80.112337,-1.704518
47,0,300,0.000,69.240,0.069,17.711845,-80.081563,-1.668366
48,0,300,0.000,88.549,0.089,15.706453,-80.133820,-1.635384
49,0,300,0.000,71.613,0.072,16.836046,-80.113252,-1.602265
50,0,300,0.000,67.639,0.068,16.452707,-80.075594,-1.570110
51,0,300,0.000,72.621,0.073,15.625225,-80.059360,-1.539603
52,0,300,0.000,77.929,0.078,16.029742,-80.065952,-1.510678
53,0,300,0.000,82.593,0.083,15.569987,-80.092596,-1.483196
54,0,300,0.000,92.566,0.093,15.539229,-80.162127,-1.457493
55,0,300,0.000,76.523,0.077,14.641363,-80.162674,-1.431476
56,0,300,0.000,63.449,0.063,17.439392,-80.106998,-1.405386
57,0,300,0.000,65.081,0.065,17.640725,-80.058342,-1.380316
58,0,300,0.000,68.164,0.068,17.676801,-80.022944,-1.356321
59,0,300,0.000,79.954,0.080,16.547845,-80.038244,-1.333971
60,0,300,0.000,71.072,0.071,15.857924,-80.015347,-1.311727
61,0,300,0.000,70.178,0.070,17.973905,-79.988608,-1.290139
62,0,300,0.000,70.223,0.070,17.978483,-79.962061,-1.269239
63,0,300,0.000,66.286,0.066,19.784263,-79.918586,-1.248728
64,0,300,0.000,62.571,0.063,17.599660,-79.859138,-1.228602
65,0,300,0.000,65.385,0.065,17.955542,-79.811791,-1.209270
66,0,300,0.000,83.998,0.084,14.661197,-79.844477,-1.191709
67,0,300,0.000,98.258,0.098,14.810135,-79.938480,-1.175566
68,0,300,0.000,672.414,0.672,1.322459,-82.501355,-1.195672
69,0,300,0.000,706.887,0.707,1.738384,-85.212463,-1.217321
70,0,300,0.000,686.424,0.686,1.736875,-87.835581,-1.237121
71,0,300,0.000,977.694,0.978,1.288100,-91.711163,-1.273766
72,0,300,0.000,750.089,0.750,1.679673,-94.608040,-1.296001
73,0,300,0.000,669.209,0.669,1.720012,-97.157136,-1.312934
74,0,300,0.000,1100.621,1.101,1.188012,-101.561300,-1.354151
75,0,300,0.000,1184.628,1.185,1.211033,-106.326698,-1.399035
76,0,300,0.000,875.727,0.876,1.460857,-109.763820,-1.425504
77,0,300,0.000,618.876,0.619,1.701277,-112.096484,-1.437134
78,0,300,0.000,572.388,0.572,1.733245,-114.229247,-1.445940
79,0,300,0.000,676.073,0.676,1.706964,-116.807856,-1.460098
80,0,300,0.000,702.165,0.702,1.708898,-119.498660,-1.475292
81,0,300,0.000,786.674,0.787,1.504746,-122.552853,-1.494547
82,0,300,0.000,756.704,0.757,1.711179,-125.478176,-1.511785
83,0,300,0.000,671.897,0.672,1.728956,-128.038828,-1.524272
84,0,300,0.000,911.653,0.912,1.512084,-131.630433,-1.548593
85,0,300,0.000,884.295,0.884,1.511034,-135.104397,-1.570981
86,0,300,0.000,721.266,0.721,1.775367,-137.877335,-1.584797
87,0,300,0.000,133.047,0.133,8.268182,-138.120933,-1.569556
88,0,300,0.000,57.040,0.057,16.608882,-138.037700,-1.550985
89,0,300,0.000,55.405,0.055,16.210743,-137.947438,-1.532749
90,0,300,0.000,77.332,0.077,18.807230,-137.951463,-1.515950
91,0,300,0.000,76.487,0.076,16.272517,-137.951855,-1.499477
92,0,300,0.000,70.779,0.071,15.807826,-137.927699,-1.483094
93,0,300,0.000,74.207,0.074,16.756570,-137.918285,-1.467216
94,0,300,0.000,87.194,0.087,14.995640,-137.964717,-1.452260
95,0,300,0.000,71.920,0.072,14.047712,-137.945469,-1.436932
96,0,300,0.000,79.176,0.079,15.489069,-137.957421,-1.422241
97,0,300,0.000,87.110,0.087,15.965887,-138.003491,-1.408199
98,0,300,0.000,81.735,0.082,14.751128,-138.026446,-1.394207
99,0,300,0.000,72.736,0.073,15.299661,-138.010707,-1.380107
100,0,300,0.000,73.773,0.074,15.381216,-137.999428,-1.366331
101,0,300,0.000,71.913,0.072,17.370753,-137.980150,-1.352747
102,0,300,0.000,73.442,0.073,17.510048,-137.967445,-1.339490
103,0,300,0.000,88.502,0.089,16.252804,-138.019500,-1.327111
104,0,300,0.000,70.766,0.071,15.832547,-137.995290,-1.314241
105,0,300,0.000,70.136,0.070,15.776523,-137.968372,-1.301588
106,0,300,0.000,66.096,0.066,17.369712,-137.924081,-1.289010
107,0,300,0.000,68.379,0.068,17.621310,-137.889607,-1.276756
108,0,300,0.000,85.211,0.085,15.526953,-137.927511,-1.265390
109,0,300,0.000,68.247,0.068,16.514270,-137.892469,-1.253568
110,0,300,0.000,73.997,0.074,17.046224,-137.882152,-1.242182
111,0,300,0.000,78.546,0.079,16.073237,-137.891397,-1.231173
112,0,300,0.000,80.815,0.081,16.227371,-137.910398,-1.220446
113,0,300,0.000,73.601,0.074,14.962193,-137.898378,-1.209635
114,0,300,0.000,79.229,0.079,14.818260,-137.910558,-1.199222
115,0,300,0.000,82.128,0.082,14.994909,-137.935205,-1.189097
116,0,300,0.000,77.141,0.077,18.864279,-137.938406,-1.178961
117,0,300,0.000,54.917,0.055,16.192334,-137.846047,-1.168187
118,0,300,0.000,69.120,0.069,17.778305,-137.814760,-1.158107
119,0,300,0.000,74.025,0.074,16.105720,-137.804565,-1.148371
120,0,300,0.000,77.068,0.077,16.341080,-137.807451,-1.138905
121,0,300,0.000,70.120,0.070,17.967955,-137.780461,-1.129348
122,0,300,0.000,65.789,0.066,17.496012,-137.734851,-1.119796
123,0,300,0.000,66.149,0.066,19.766634,-137.690789,-1.110410
124,0,300,0.000,75.459,0.075,19.011864,-137.686760,-1.101494
125,0,300,0.000,69.455,0.069,18.419190,-137.656914,-1.092515
126,0,300,0.000,74.715,0.075,14.091957,-137.649685,-1.083856
127,0,300,0.000,71.556,0.072,13.864539,-137.628871,-1.075226
128,0,300,0.000,866.685,0.867,1.331547,-141.027113,-1.093233
129,0,300,0.000,690.726,0.691,1.737199,-143.668729,-1.105144
130,0,300,0.000,681.679,0.682,1.736512,-146.271445,-1.116576
131,0,300,0.000,1004.681,1.005,1.288823,-150.263071,-1.138357
132,0,300,0.000,694.689,0.695,1.672231,-152.921729,-1.149787
133,0,300,0.000,797.494,0.797,1.728536,-156.022447,-1.164347
134,0,300,0.000,1124.298,1.124,1.188475,-160.528422,-1.189099
135,0,300,0.000,1078.274,1.078,1.187557,-164.836494,-1.212033
136,0,300,0.000,755.823,0.756,1.455440,-167.758031,-1.224511
137,0,300,0.000,560.128,0.560,1.691342,-169.838077,-1.230711
138,0,300,0.000,520.089,0.520,1.726935,-171.745956,-1.235582
139,0,300,0.000,846.838,0.847,1.717457,-175.058856,-1.250420
140,0,300,0.000,727.584,0.728,1.710648,-177.858962,-1.261411
141,0,300,0.000,744.648,0.745,1.502531,-180.732443,-1.272764
142,0,300,0.000,727.860,0.728,1.708373,-183.533737,-1.283453
143,0,300,0.000,753.746,0.754,1.734716,-186.446342,-1.294766
144,0,300,0.000,673.501,0.674,1.500091,-189.013891,-1.303544
145,0,300,0.000,813.247,0.813,1.507980,-192.182349,-1.316317
146,0,300,0.000,781.660,0.782,1.779279,-195.214983,-1.327993
147,0,300,0.000,137.177,0.137,8.789257,-195.476338,-1.320786
148,0,300,0.000,63.509,0.064,17.522440,-195.420924,-1.311550
149,0,300,0.000,64.730,0.065,17.529948,-195.370760,-1.302472
150,0,300,0.000,69.243,0.069,18.040709,-195.339999,-1.293642
151,0,300,0.000,78.363,0.078,16.410420,-195.348455,-1.285187
152,0,300,0.000,85.281,0.085,16.866630,-195.386661,-1.277037
153,0,300,0.000,68.843,0.069,16.274840,-195.354181,-1.268534
154,0,300,0.000,76.863,0.077,14.395729,-195.356190,-1.260363
155,0,300,0.000,79.000,0.079,14.532642,-195.367384,-1.252355
156,0,300,0.000,78.142,0.078,15.419788,-195.374889,-1.244426
157,0,300,0.000,83.842,0.084,15.780442,-195.406907,-1.236753
158,0,300,0.000,77.709,0.078,14.503526,-195.412550,-1.229010
159,0,300,0.000,79.775,0.080,15.811608,-195.427078,-1.221419
160,0,300,0.000,79.828,0.080,15.815151,-195.441835,-1.213924
161,0,300,0.000,74.499,0.074,17.603071,-195.433678,-1.206381
162,0,300,0.000,65.765,0.066,16.745074,-195.387961,-1.198699
163,0,300,0.000,75.912,0.076,15.465776,-195.385877,-1.191377
164,0,300,0.000,75.800,0.076,16.246774,-195.383313,-1.184141
165,0,300,0.000,85.936,0.086,16.933621,-195.424333,-1.177255
166,0,300,0.000,55.704,0.056,15.963709,-195.335356,-1.169673
167,0,300,0.000,69.339,0.069,17.722176,-195.305010,-1.162530
168,0,300,0.000,78.762,0.079,15.137055,-195.315185,-1.155711
169,0,300,0.000,73.911,0.074,17.038910,-195.304499,-1.148850
170,0,300,0.000,73.934,0.074,17.040872,-195.293912,-1.142070
171,0,300,0.000,75.912,0.076,15.882663,-195.291829,-1.135418
