Last1_chunk_bitrate,Last1_buffer_size,Last8_throughput,Last7_throughput,Last6_throughput,Last5_throughput,Last4_throughput,Last3_throughput,Last2_throughput,Last1_throughput,Last8_downloadtime,Last7_downloadtime,Last6_downloadtime,Last5_downloadtime,Last4_downloadtime,Last3_downloadtime,Last2_downloadtime,Last1_downloadtime,chunksize1,chunksize2,chunksize3,chunksize4,chunksize5,chunksize6,Chunks_left,br,qoe_2
0.66279,1.3299460377389793,0.2590276066365591,0.5684829745554764,0.6184759219726184,0.30596820648069345,0.8307209015665885,0.23111080680158408,0.32501378439772843,0.2417850868741499,0.20411241745304376,0.6299625790025419,1.5003110486005098,0.7209808812550034,0.7505641978393537,0.3346151073325836,0.5540615323535024,0.7621488466716732,0.17041381370943148,0.27170691334426467,0.6125612592221231,0.8132491984778166,1.4573945940647273,2.2659809606062717,0.42930506460239565,1200.0,2.77259
0.66279,1.3299460377389793,0.2590276066365591,0.5684829745554764,0.6184759219726184,0.30596820648069345,0.8307209015665885,0.23111080680158408,0.32501378439772843,0.2417850868741499,0.20411241745304376,0.6299625790025419,1.5003110486005098,0.7209808812550034,0.7505641978393537,0.3346151073325836,0.5540615323535024,0.772148847579956,0.17041381370943148,0.27170691334426467,0.6125612592221231,0.8132491984778166,1.4573945940647273,2.2659809606062717,0.42930506460239565,750.0,1.83258
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.66279,1.4155923404085107,0.30114415913133485,0.127508414846959,0.34088591269698976,0.5124489296179968,0.18269841997326153,0.5712694785532987,0.6666618737551265,0.5950619507985404,0.9198293447382024,1.4103062151786057,0.5671615622311967,0.3365432317086293,0.6812999921029051,0.6239477750803069,0.5973595521713397,0.28192707579355125,0.1227589866408287,0.4315756508279898,0.6854470213546435,0.7302715793318428,1.0609601407705849,1.5757563695674202,0.8324630765234151,2850.0,4.50258
0.66279,1.4155923404085107,0.30114415913133485,0.127508414846959,0.34088591269698976,0.5124489296179968,0.18269841997326153,0.5712694785532987,0.6666618737551265,0.5950619507985404,0.9198293447382024,1.4103062151786057,0.5671615622311967,0.3365432317086293,0.6812999921029051,0.6239477750803069,0.5973595521713397,0.2919270694255829,0.1227589866408287,0.4315756508279898,0.6854470213546435,0.7302715793318428,1.0609601407705849,1.5757563695674202,0.8324630765234151,1200.0,2.77259
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.66279,1.2413821927164246,0.6720685902334154,0.6378348568448949,0.5947175000509304,0.36921971848211266,0.15005294903644828,0.5804272497548609,0.6692287839825471,0.21724277340766768,1.400318949397272,1.7571402400189906,1.2642323353954237,0.09847844040137418,0.41803087081992085,0.18991755000965904,0.23901071243618108,0.2959200684923682,0.1417365542850657,0.3794094756863959,0.5841292582278546,1.032445296983596,1.0978161830698794,1.7399022339754426,0.03160313476011552,2850.0,4.50258
0.66279,1.2413821927164246,0.6720685902334154,0.6378348568448949,0.5947175000509304,0.36921971848211266,0.15005294903644828,0.5804272497548609,0.6692287839825471,0.21724277340766768,1.400318949397272,1.7571402400189906,1.2642323353954237,0.09847844040137418,0.41803087081992085,0.18991755000965904,0.23901071243618108,0.3039199709892273,0.1417365542850657,0.3794094756863959,0.5841292582278546,1.032445296983596,1.0978161830698794,1.7399022339754426,0.03160313476011552,1200.0,2.77259
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
0.66279,1.2945005565633068,0.4668387419880897,0.20800749622148265,0.28030435899493783,0.48463352782349267,0.8314237193610002,0.5033511252964117,0.18896669447063014,0.653910519695744,0.48785317945039564,1.7421173329515087,1.3397275240616855,0.9377873857428175,0.4875755779878858,0.3323666674433964,0.29661389634914337,0.20347603538534956,0.13282150224066372,0.2689777450942241,0.6708534176325116,0.7500342824295696,1.1921941283270343,1.4671864538499162,0.8296372395826901,2850.0,4.50258
