a_Last1_chunk_bitrate,a_Last1_buffer_size,a_Last8_throughput,a_Last7_throughput,a_Last6_throughput,a_Last5_throughput,a_Last4_throughput,a_Last3_throughput,a_Last2_throughput,a_Last1_throughput,a_Last8_downloadtime,a_Last7_downloadtime,a_Last6_downloadtime,a_Last5_downloadtime,a_Last4_downloadtime,a_Last3_downloadtime,a_Last2_downloadtime,a_Last1_downloadtime,a_chunksize1,a_chunksize2,a_chunksize3,a_chunksize4,a_chunksize5,a_chunksize6,a_Chunks_left,a_br
0.27906976744186046,1.168846391653505,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.323,5.167,0.974,2.767,2.611,2.164,2.334,5.461,0.14,0.37,0.40,0.31,0.34,0.69,0.8125,1200
0.27906976744186046,1.0769407870992822,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5.167,0.974,2.767,2.611,2.164,2.334,5.461,4.919,0.37,0.40,0.31,0.34,0.69,0.57,0.7916666666666666,1200
0.27906976744186046,1.1074577029459032,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.974,2.767,2.611,2.164,2.334,5.461,4.919,3.695,0.40,0.31,0.34,0.69,0.57,0.55,0.7708333333333334,1200
0.27906976744186046,1.0961147625179546,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.767,2.611,2.164,2.334,5.461,4.919,3.695,4.113,0.31,0.34,0.69,0.57,0.55,0.59,0.75,1200
0.27906976744186046,1.1078213833876718,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.611,2.164,2.334,5.461,4.919,3.695,4.113,3.883,0.34,0.69,0.57,0.55,0.59,0.58,0.7291666666666666,1200
0.27906976744186046,1.0135463918151846,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.164,2.334,5.461,4.919,3.695,4.113,3.883,4.943,0.69,0.57,0.55,0.59,0.58,0.61,0.7083333333333334,1200
0.27906976744186046,0.5152456451516814,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.334,5.461,4.919,3.695,4.113,3.883,4.943,8.983,0.57,0.55,0.59,0.58,0.61,0.67,0.6875,300
0.06976744186046512,0.8216962001256818,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5.461,4.919,3.695,4.113,3.883,4.943,8.983,0.935,0.55,0.59,0.58,0.61,0.67,0.14,0.6666666666666666,300
0.06976744186046512,1.1259975406879197,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.919,3.695,4.113,3.883,4.943,8.983,0.935,0.957,0.59,0.58,0.61,0.67,0.14,0.14,0.6458333333333334,300
0.06976744186046512,1.4271152809436143,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.695,4.113,3.883,4.943,8.983,0.935,0.957,0.989,0.58,0.61,0.67,0.14,0.14,0.14,0.625,750
0.1744186046511628,1.6792304479391866,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,4.113,3.883,4.943,8.983,0.935,0.957,0.989,1.479,0.61,0.67,0.14,0.14,0.14,0.36,0.6041666666666666,750
0.1744186046511628,1.9082873264907285,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,3.883,4.943,8.983,0.935,0.957,0.989,1.479,1.709,0.67,0.14,0.14,0.14,0.36,0.40,0.5833333333333334,1200
0.27906976744186046,2.029106852491012,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,4.943,8.983,0.935,0.957,0.989,1.479,1.709,2.792,0.14,0.14,0.14,0.36,0.40,0.57,0.5625,1200
0.27906976744186046,1.7626931483082373,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,8.983,0.935,0.957,0.989,1.479,1.709,2.792,6.664,0.14,0.14,0.36,0.40,0.57,0.59,0.5416666666666666,1200
0.27906976744186046,1.7573859527905284,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.935,0.957,0.989,1.479,1.709,2.792,6.664,4.053,0.14,0.36,0.40,0.57,0.59,0.60,0.5208333333333334,1200
0.27906976744186046,1.8515191548821872,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.957,0.989,1.479,1.709,2.792,6.664,4.053,3.059,0.36,0.40,0.57,0.59,0.60,0.64,0.5,1200
0.27906976744186046,2.0312603147503716,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.989,1.479,1.709,2.792,6.664,4.053,3.059,2.203,0.40,0.57,0.59,0.60,0.64,0.52,0.4791666666666667,1200
0.27906976744186046,2.19071743699562,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,1.479,1.709,2.792,6.664,4.053,3.059,2.203,2.405,0.57,0.59,0.60,0.64,0.52,0.57,0.4583333333333333,1200
0.27906976744186046,2.3228956624185453,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,1.709,2.792,6.664,4.053,3.059,2.203,2.405,2.678,0.59,0.60,0.64,0.52,0.57,0.58,0.4375,1200
0.27906976744186046,2.4293571516194974,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,2.792,6.664,4.053,3.059,2.203,2.405,2.678,2.935,0.60,0.64,0.52,0.57,0.58,0.68,0.4166666666666667,1850
0.43023255813953487,2.5025060008595172,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,6.664,4.053,3.059,2.203,2.405,2.678,2.935,3.269,0.64,0.52,0.57,0.58,0.68,0.74,0.3958333333333333,1850
0.43023255813953487,2.510630017305764,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,4.053,3.059,2.203,2.405,2.678,2.935,3.269,3.919,0.52,0.57,0.58,0.68,0.74,0.95,0.375,1850
0.43023255813953487,2.4941915185938215,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,3.059,2.203,2.405,2.678,2.935,3.269,3.919,4.164,0.57,0.58,0.68,0.74,0.95,0.95,0.3541666666666667,2850
0.6627906976744186,2.363674961783461,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.203,2.405,2.678,2.935,3.269,3.919,4.164,5.305,0.58,0.68,0.74,0.95,0.95,1.31,0.3333333333333333,2850
0.6627906976744186,2.1650986291523484,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.405,2.678,2.935,3.269,3.919,4.164,5.305,5.986,0.68,0.74,0.95,0.95,1.31,1.46,0.3125,2850
